Name,Age,Gender,City,Food_Preference,Sleep_Schedule,Cleanliness_Level,Smoking_Drinking,Personality_Description,Ideal_Roommate
User2824,18,Other,Chennai,Vegetarian,Early riser,Very Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Night owl, enjoys late-night discussions"
User2424,27,Female,Delhi,Vegetarian,Early riser,Very Clean,Yes,"Studies long hours, needs cooperative environment","Studious, respects space, loves cricket"
User1434,26,Male,Ahmedabad,Non-Vegetarian,Early riser,Moderately Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Quiet, non-smoker, prefers early mornings"
User3615,24,Female,Chennai,Vegetarian,Early riser,Moderately Clean,Yes,"Extroverted, loves socializing, watches late-night IPL","Open-minded, talkative, doesn't mind visitors"
User2584,23,Female,Jaipur,Non-Vegetarian,Early riser,Messy,No,"Studies long hours, needs cooperative environment","Friendly, okay with music, respects privacy"
User7201,19,Other,Chennai,Eggetarian,Flexible,Moderately Clean,Occasionally,"Loves cooking, listens to music while studying","Friendly, okay with music, respects privacy"
User1750,28,Male,Chennai,Vegetarian,Early riser,Very Clean,No,"Minimalist, avoids clutter, prefers peaceful environment","Minimalist, prefers clean and peaceful room"
User6977,20,Female,Pune,Vegetarian,Flexible,Moderately Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Studious, respects space, loves cricket"
User3803,26,Other,Hyderabad,Vegetarian,Night owl,Moderately Clean,No,"Studies long hours, needs cooperative environment","Similar sleep schedule, respectful of boundaries"
User6313,18,Male,Delhi,Non-Vegetarian,Night owl,Moderately Clean,Yes,"Loves cooking, listens to music while studying","Studious, respects space, loves cricket"
User6155,21,Other,Kolkata,Non-Vegetarian,Flexible,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Clean and organized, no frequent guests"
User5040,26,Other,Chennai,Eggetarian,Flexible,Moderately Clean,Occasionally,"Spiritual, practices yoga, needs silence in mornings","Non-smoker, introverted and cooperative"
User4593,20,Other,Kolkata,Vegetarian,Early riser,Very Clean,Yes,"Focused student, prefers early mornings and chai","Open-minded, talkative, doesn't mind visitors"
User2040,24,Female,Jaipur,Non-Vegetarian,Flexible,Moderately Clean,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Friendly, okay with music, respects privacy"
User9797,22,Other,Pune,Vegetarian,Night owl,Moderately Clean,Yes,"Chatty and helpful, often invites friends over","Quiet, non-smoker, prefers early mornings"
User5315,26,Male,Ahmedabad,Vegetarian,Flexible,Moderately Clean,Occasionally,"Studies long hours, needs cooperative environment","Studious, respects space, loves cricket"
User4258,20,Female,Bangalore,Eggetarian,Flexible,Very Clean,Occasionally,"Late night gamer, loves anime and group activities","Minimalist, prefers clean and peaceful room"
User1319,19,Female,Chennai,Vegetarian,Early riser,Very Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Friendly, okay with music, respects privacy"
User8962,19,Other,Bangalore,Vegetarian,Flexible,Moderately Clean,Occasionally,"Focused student, prefers early mornings and chai",Enjoys shared meals and group chats
User9645,27,Female,Hyderabad,Eggetarian,Flexible,Messy,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Open-minded, talkative, doesn't mind visitors"
User7118,25,Other,Kolkata,Vegetarian,Early riser,Very Clean,Yes,"Late night gamer, loves anime and group activities","Quiet, non-smoker, prefers early mornings"
User4770,27,Male,Delhi,Vegetarian,Flexible,Messy,Yes,"Loves cooking, listens to music while studying","Friendly, okay with music, respects privacy"
User1514,23,Male,Ahmedabad,Vegetarian,Night owl,Messy,No,"Loves cooking, listens to music while studying","Night owl, enjoys late-night discussions"
User3167,27,Other,Kolkata,Vegetarian,Night owl,Moderately Clean,Yes,"Extroverted, loves socializing, watches late-night IPL","Friendly, okay with music, respects privacy"
User8062,23,Female,Lucknow,Non-Vegetarian,Flexible,Very Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Quiet, non-smoker, prefers early mornings"
User7596,23,Male,Hyderabad,Vegetarian,Early riser,Messy,No,"Focused student, prefers early mornings and chai","Open-minded, talkative, doesn't mind visitors"
User4006,22,Female,Hyderabad,Vegetarian,Night owl,Messy,Yes,"Introverted, enjoys quiet time, loves reading novels","Night owl, enjoys late-night discussions"
User1241,19,Male,Bangalore,Non-Vegetarian,Night owl,Moderately Clean,Yes,"Spiritual, practices yoga, needs silence in mornings","Quiet, non-smoker, prefers early mornings"
User3697,24,Male,Lucknow,Non-Vegetarian,Night owl,Moderately Clean,No,"Studies long hours, needs cooperative environment","Minimalist, prefers clean and peaceful room"
User3536,21,Female,Hyderabad,Vegetarian,Flexible,Messy,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Non-smoker, introverted and cooperative"
User1936,18,Other,Kolkata,Eggetarian,Flexible,Very Clean,Yes,"Studies long hours, needs cooperative environment","Friendly, okay with music, respects privacy"
User4044,19,Other,Mumbai,Eggetarian,Early riser,Moderately Clean,Yes,"Enjoys movies, keeps shared areas clean","Similar sleep schedule, respectful of boundaries"
User1651,27,Male,Lucknow,Eggetarian,Flexible,Messy,Occasionally,"Late night gamer, loves anime and group activities",Enjoys shared meals and group chats
User4346,28,Other,Pune,Vegetarian,Night owl,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Minimalist, prefers clean and peaceful room"
User6180,19,Male,Kolkata,Eggetarian,Flexible,Very Clean,Yes,"Studies long hours, needs cooperative environment","Similar sleep schedule, respectful of boundaries"
User9288,22,Male,Pune,Vegetarian,Early riser,Moderately Clean,No,"Focused student, prefers early mornings and chai","Minimalist, prefers clean and peaceful room"
User9900,22,Other,Ahmedabad,Vegetarian,Flexible,Messy,No,"Extroverted, loves socializing, watches late-night IPL","Clean and organized, no frequent guests"
User5333,19,Male,Ahmedabad,Vegetarian,Night owl,Moderately Clean,Occasionally,"Loves cooking, listens to music while studying","Non-smoker, introverted and cooperative"
User4335,28,Other,Chennai,Eggetarian,Night owl,Moderately Clean,Yes,"Extroverted, loves socializing, watches late-night IPL","Open-minded, talkative, doesn't mind visitors"
User5533,18,Male,Pune,Vegetarian,Flexible,Moderately Clean,Yes,"Chatty and helpful, often invites friends over","Night owl, enjoys late-night discussions"
User8007,26,Male,Mumbai,Vegetarian,Flexible,Very Clean,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Non-smoker, introverted and cooperative"
User3426,24,Male,Delhi,Non-Vegetarian,Night owl,Very Clean,No,"Loves cooking, listens to music while studying","Similar sleep schedule, respectful of boundaries"
User2684,23,Other,Lucknow,Eggetarian,Flexible,Very Clean,Yes,"Focused student, prefers early mornings and chai","Clean and organized, no frequent guests"
User7755,18,Male,Pune,Non-Vegetarian,Flexible,Messy,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Clean and organized, no frequent guests"
User2771,24,Male,Kolkata,Vegetarian,Early riser,Moderately Clean,No,"Minimalist, avoids clutter, prefers peaceful environment","Similar sleep schedule, respectful of boundaries"
User4652,18,Other,Hyderabad,Non-Vegetarian,Night owl,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Non-smoker, introverted and cooperative"
User9346,24,Other,Ahmedabad,Non-Vegetarian,Early riser,Very Clean,No,"Focused student, prefers early mornings and chai","Studious, respects space, loves cricket"
User5349,18,Male,Jaipur,Non-Vegetarian,Night owl,Messy,No,"Spiritual, practices yoga, needs silence in mornings","Studious, respects space, loves cricket"
User9379,19,Female,Jaipur,Vegetarian,Night owl,Very Clean,Occasionally,"Spiritual, practices yoga, needs silence in mornings","Quiet, non-smoker, prefers early mornings"
