Name,Age,Gender,City,Food_Preference,Sleep_Schedule,Cleanliness_Level,Smoking_Drinking,Personality_Description,Ideal_Roommate,Summary
User2824,18,Other,Chennai,Vegetarian,Early riser,Very Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Night owl, enjoys late-night discussions","🏠 Preferred Accommodation:
User2824 is looking for a shared accommodation in Chennai with a roommate who is a night owl and enjoys late-night discussions. They prefer a very clean living environment and a vegetarian roommate. 

💼 Occupation:
User2824 is currently studying and is looking for a roommate who is also a student or a working professional. They are open to living with someone who occasionally smokes or drinks.

👫 Interests:
User2824 enjoys socializing and watching late-night IPL matches. They are extroverted and are looking for a roommate who shares similar interests in socializing and late-night activities. 

📍 Location:
User2824 is looking for accommodation in Chennai and prefers a location that is convenient for their daily activities and close to public transportation. 

🔑 Preferences:
User2824 values cleanliness, socializing, and late-night discussions. They are looking for a roommate who is respectful, responsible, and compatible with their lifestyle."
User2424,27,Female,Delhi,Vegetarian,Early riser,Very Clean,Yes,"Studies long hours, needs cooperative environment","Studious, respects space, loves cricket","Their preferred living environment is: Quiet, well-organized, and close to public transportation.

User2424 is a responsible and disciplined individual who values a peaceful and tidy living space. They are seeking a roommate who shares similar values and interests, particularly someone who is studious, respectful of personal space, and enjoys cricket. If you fit this description and are looking for a like-minded roommate in Delhi, User2424 could be the perfect match for you."
User1434,26,Male,Ahmedabad,Non-Vegetarian,Early riser,Moderately Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Quiet, non-smoker, prefers early mornings","Their interests include reading, watching movies, and going for walks in nature. They are currently studying for a postgraduate degree in Business Administration."
User3615,24,Female,Chennai,Vegetarian,Early riser,Moderately Clean,Yes,"Extroverted, loves socializing, watches late-night IPL","Open-minded, talkative, doesn't mind visitors","🏠 Housing Preferences:

User3615 is looking for a shared apartment in Chennai with a private room.  
Their budget is around ₹10,000-15,000 per month.  
They prefer a furnished apartment with basic amenities like Wi-Fi and laundry facilities.  
Location preference: Anywhere in Chennai with good connectivity to public transport.

🤝 Roommate Expectations:

User3615 is looking for a roommate who is open-minded, talkative, and doesn't mind having visitors over occasionally.  
They prefer someone who is respectful of their space and belongings.  
Shared responsibilities like cleaning and paying bills should be divided equally.  
Compatibility in terms of lifestyle and habits is important for a harmonious living arrangement."
User2584,23,Female,Jaipur,Non-Vegetarian,Early riser,Messy,No,"Studies long hours, needs cooperative environment","Friendly, okay with music, respects privacy","Their hobbies and interests include reading, painting, and photography. They are currently pursuing a degree in Psychology and are passionate about mental health advocacy. In their free time, they enjoy exploring new cafes and attending art exhibitions.

User2584 is looking for a roommate who is understanding and respectful of their study habits and need for a cooperative environment. They value privacy but also appreciate a friendly and sociable roommate who is okay with listening to music occasionally. Overall, they are seeking a harmonious living arrangement where they can focus on their studies while also enjoying some downtime with a considerate roommate."
User7201,19,Other,Chennai,Eggetarian,Flexible,Moderately Clean,Occasionally,"Loves cooking, listens to music while studying","Friendly, okay with music, respects privacy","🏠 Housing Preferences:

User7201 is looking for a shared accommodation in Chennai with a monthly budget of Rs. 10,000 - Rs. 15,000.  
They prefer a furnished room with access to basic amenities such as Wi-Fi, electricity, and water.  
Their ideal location would be near a college or public transportation for easy commuting.

🤝 Roommate Preferences:

User7201 is seeking a roommate who is friendly, enjoys music, and respects privacy.  
They prefer someone who is also a student or working professional.  
Shared interests in cooking or studying would be a bonus.  

If you think you would be a good match for User7201, feel free to reach out to them for further discussions on potential roommate arrangements! 🏡👫"
User1750,28,Male,Chennai,Vegetarian,Early riser,Very Clean,No,"Minimalist, avoids clutter, prefers peaceful environment","Minimalist, prefers clean and peaceful room",They are currently studying for a Master's degree in Computer Science and are focused on their academic goals. They are looking for a roommate who is also focused on their studies and respects their need for a quiet and clean living space.
User6977,20,Female,Pune,Vegetarian,Flexible,Moderately Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Studious, respects space, loves cricket","Their hobbies/interests include: Reading, playing badminton, watching movies, and cooking.

They are currently studying Computer Science at a university in Pune and are looking for a roommate to share a 2-bedroom apartment near campus. They are open to discussing preferences and finding a suitable living arrangement that works for both parties."
User3803,26,Other,Hyderabad,Vegetarian,Night owl,Moderately Clean,No,"Studies long hours, needs cooperative environment","Similar sleep schedule, respectful of boundaries","They are currently studying for a postgraduate degree in Computer Science and enjoy spending their free time reading, watching movies, and exploring new technologies. They are looking for a roommate who is responsible, respectful, and enjoys a quiet and cooperative living environment."
User6313,18,Male,Delhi,Non-Vegetarian,Night owl,Moderately Clean,Yes,"Loves cooking, listens to music while studying","Studious, respects space, loves cricket","Overall, User6313 seems like a sociable and independent individual who enjoys cooking, music, and cricket. They value their personal space and are looking for a roommate who shares similar interests and habits."
User6155,21,Other,Kolkata,Non-Vegetarian,Flexible,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Clean and organized, no frequent guests","Their preferred study environment is: Quiet and well-organized.

User6155 is a responsible and independent individual who values a peaceful living space. They are looking for a roommate who shares similar values and habits to maintain a harmonious living environment."
User5040,26,Other,Chennai,Eggetarian,Flexible,Moderately Clean,Occasionally,"Spiritual, practices yoga, needs silence in mornings","Non-smoker, introverted and cooperative","Their hobbies/interests include: Reading, meditation, cooking, and exploring new places.  
They are currently studying/working as a software engineer in a tech company.  
Their preferred living environment is quiet, peaceful, and organized.  
They are open to sharing household responsibilities and having occasional deep conversations with their roommate.  
Overall, they are seeking a harmonious and respectful living situation with a like-minded individual."
User4593,20,Other,Kolkata,Vegetarian,Early riser,Very Clean,Yes,"Focused student, prefers early mornings and chai","Open-minded, talkative, doesn't mind visitors","Their hobbies/interests include: Reading, writing, painting, and exploring new cafes.  
They are studying: English Literature at a local university.  
Their budget for rent is: Flexible, as long as it's reasonable for the area.  
They prefer roommates who are: Responsible, respectful of shared spaces, and communicative about any issues."
User2040,24,Female,Jaipur,Non-Vegetarian,Flexible,Moderately Clean,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Friendly, okay with music, respects privacy","They are currently studying for a degree in English Literature and enjoy spending their free time writing poetry and short stories. They are looking for a roommate who is respectful, open-minded, and easy to communicate with. They value a peaceful and harmonious living environment where they can focus on their studies and personal interests."
